Серия,Поколение,Год,Рестайлинг,Пробег,Коробка,Объем,Цена,Кузов_внедорожник 5 дв.,Кузов_кабриолет,Кузов_купе,Кузов_лифтбек,Кузов_минивэн,Кузов_седан,Кузов_универсал,Кузов_хэтчбек 3 дв.,Кузов_хэтчбек 5 дв.,Топливо_бензин,Топливо_дизель
16567,13047,2006,0,420000,2,2.0,10550,0,0,0,0,0,1,0,0,0,0,1
70383,74710,2023,1,15000,2,3.0,144000,1,0,0,0,0,0,0,0,0,0,1
16826,20477,2013,0,204000,2,2.0,15900,0,0,0,0,0,1,0,0,0,1,0
21267,19368,2020,1,193000,2,1.5,16400,0,0,0,0,1,0,0,0,0,0,1
35867,41451,2021,1,48000,2,2.0,39000,1,0,0,0,0,0,0,0,0,1,0
17325,12695,2005,0,296842,2,2.5,10800,0,0,0,0,0,0,1,0,0,0,1
17330,38623,2019,0,110000,2,2.0,33000,0,0,0,0,0,0,1,0,0,0,1
21583,19868,2018,1,185970,2,1.5,13500,0,0,0,0,1,0,0,0,0,0,1
16819,24262,2015,0,247300,2,2.0,19500,0,0,0,1,0,0,0,0,0,1,0
38075,19084,2007,0,333000,2,3.0,13050,1,0,0,0,0,0,0,0,0,1,0
16309,22383,2020,0,101000,1,1.5,19200,0,0,0,0,0,0,0,0,1,0,1
37509,19428,2008,0,235000,2,3.0,18000,1,0,0,0,0,0,0,0,0,0,1
48105,45358,2021,1,74100,2,3.0,70900,1,0,0,0,0,0,0,0,0,0,1
37509,67301,2022,0,32490,2,3.0,78990,1,0,0,0,0,0,0,0,0,1,0
16346,5728,1992,0,390254,0,1.8,2000,0,0,0,0,0,1,0,0,0,1,0
16285,20264,2017,1,90000,2,2.0,27000,0,0,0,0,0,1,0,0,0,1,0
21265,26470,2021,0,79000,1,1.5,29950,0,0,0,0,0,1,0,0,0,1,0
17325,20439,2010,0,340000,2,2.0,14990,0,0,0,0,0,1,0,0,0,0,1
48543,49125,2023,1,4800,2,3.0,93000,0,0,0,0,0,1,0,0,0,1,0
21267,26470,2020,0,114000,1,1.5,24300,0,0,0,0,0,1,0,0,0,0,1
21434,14714,2003,0,350000,2,3.0,10500,0,0,0,0,0,1,0,0,0,0,1
16819,12982,2008,0,375000,0,2.0,11500,0,0,0,0,0,1,0,0,0,0,1
