Серия,Поколение,Год,Рестайлинг,Пробег,Коробка,Объем,Цена,Кузов_внедорожник 5 дв.,Кузов_кабриолет,Кузов_купе,Кузов_лифтбек,Кузов_минивэн,Кузов_седан,Кузов_универсал,Кузов_хэтчбек 3 дв.,Кузов_хэтчбек 5 дв.,Топливо_бензин,Топливо_дизель
15881,36993,2020,0,44500,2,2.0,37500,0,0,0,0,0,1,0,0,0,1,0
17574,39008,2019,0,71000,2,2.0,33000,0,0,0,0,0,1,0,0,0,1,0
16519,7932,2002,1,450000,0,2.0,5400,0,0,0,0,0,1,0,0,0,0,1
16552,7932,2003,1,233500,2,2.5,9000,0,0,1,0,0,0,0,0,0,1,0
76605,73554,2021,0,80000,2,3.0,89500,1,0,0,0,0,0,0,0,0,0,1
17403,39564,2019,0,190000,2,2.0,26950,0,0,0,0,0,0,1,0,0,0,1
16968,7624,1990,0,300000,0,2.0,2150,0,0,0,0,0,1,0,0,0,1,0
17574,12808,2007,1,499000,0,3.0,12700,0,0,0,0,0,1,0,0,0,0,1
17574,6918,2000,1,530000,2,2.9,7699,0,0,0,0,0,1,0,0,0,0,1
17322,6987,1998,0,445000,0,2.5,4590,0,0,0,0,0,1,0,0,0,1,0
35736,41456,2021,1,55000,2,2.0,47400,1,0,0,0,0,0,0,0,0,1,0
16968,6918,2001,1,550000,0,2.9,7000,0,0,0,0,0,0,1,0,0,0,1
17574,7000,2001,1,470000,2,2.5,5300,0,0,0,0,0,0,1,0,0,0,1
21066,15889,2006,1,231500,2,4.8,9999,0,0,0,0,0,1,0,0,0,1,0
36510,41902,2018,0,155000,2,2.0,31999,1,0,0,0,0,0,0,0,0,1,0
17403,6987,1996,0,300000,0,2.9,4200,0,0,0,0,0,1,0,0,0,0,1
20269,15622,2006,1,250000,2,4.8,9900,0,0,0,0,0,1,0,0,0,1,0
39427,21047,2013,1,246000,2,2.9,26000,1,0,0,0,0,0,0,0,0,0,1
38052,19046,2008,0,420000,2,3.0,18000,1,0,0,0,0,0,0,0,0,0,1
20492,12137,2001,1,536000,2,2.9,6200,0,0,0,0,0,1,0,0,0,0,1
35692,41218,2020,0,77395,2,2.0,35900,1,0,0,0,0,0,0,0,0,1,0
25419,25407,2020,0,144500,0,1.5,20500,1,0,0,0,0,0,0,0,0,1,0
17225,6918,1999,0,342260,0,2.5,7000,0,0,0,0,0,1,0,0,0,1,0
16497,22384,2020,0,177000,1,1.5,22950,0,0,0,0,0,0,0,0,1,1,0
39819,49540,2021,0,72000,2,3.0,59999,0,0,1,0,0,0,0,0,0,1,0
16748,20325,2012,0,217000,2,2.0,17100,0,0,0,0,0,1,0,0,0,0,1
17225,39564,2017,0,144000,2,2.0,31000,0,0,0,0,0,1,0,0,0,1,0
17403,20672,2013,1,329123,2,3.0,20500,0,0,0,0,0,0,1,0,0,0,1
17322,6918,2003,1,450000,2,2.5,5800,0,0,0,0,0,1,0,0,0,1,0
16968,8691,1995,0,500000,0,2.5,3500,0,0,0,0,0,1,0,0,0,0,1
16519,7973,1999,0,277450,0,2.5,7500,0,0,0,0,0,1,0,0,0,1,0
16519,19966,2013,0,213800,2,2.0,13900,0,0,0,0,0,1,0,0,0,1,0
36510,21318,2015,1,304000,2,2.0,18800,1,0,0,0,0,0,0,0,0,0,1
16968,20672,2011,0,306400,2,2.0,17000,0,0,0,0,0,1,0,0,0,0,1
21440,18776,2020,1,123000,0,1.5,17600,0,0,0,0,1,0,0,0,0,1,0
39203,50409,2021,0,75000,2,3.0,72000,0,0,0,1,0,0,0,0,0,1,0
16968,7316,1995,0,452232,0,1.8,3500,0,0,0,0,0,0,1,0,0,1,0
17225,20391,2011,0,222000,2,2.5,15900,0,0,0,0,0,1,0,0,0,1,0
35530,20915,2012,0,180000,2,3.0,17900,1,0,0,0,0,0,0,0,0,0,1
17403,6988,2001,1,519000,0,2.9,8800,0,0,0,0,0,0,1,0,0,0,1
38052,13591,2006,1,361000,2,3.0,13900,1,0,0,0,0,0,0,0,0,0,1
35736,21102,2015,1,266000,2,2.0,22900,1,0,0,0,0,0,0,0,0,0,1
16519,13290,2010,1,180000,2,3.0,13500,0,0,0,0,0,1,0,0,0,1,0
20492,20549,2010,0,303000,2,3.0,17300,0,0,0,0,0,1,0,0,0,0,1
37697,66846,2020,0,59855,2,3.0,75000,1,0,0,0,0,0,0,0,0,1,0
39203,49491,2021,0,31000,2,3.0,64999,0,0,1,0,0,0,0,0,0,0,1
20704,18482,2020,1,189563,0,1.5,15499,0,0,0,0,1,0,0,0,0,0,1
21066,20549,2011,0,380000,2,3.0,15700,0,0,0,0,0,1,0,0,0,0,1
17403,12758,2003,0,390000,2,3.0,12600,0,0,0,0,0,1,0,0,0,0,1
16968,20391,2012,0,275500,2,2.0,19000,0,0,0,0,0,0,1,0,0,0,1
17403,20391,2011,0,245000,2,3.0,19300,0,0,0,0,0,1,0,0,0,0,1
