Модель,Год,Пробег,Цена,Описание
"BMW 1 серия E81, E82, E88, E87",2006,230000,6750,"механика, 1,6 л, бензин, хэтчбек 5 дв."
"BMW X5 F15",2015,249000,33900,"автомат, 2,0 л, дизель, внедорожник 5 дв."
"BMW 3 серия G20, G21",2020,89000,36999,"автомат, 2,0 л, бензин, седан"
"BMW X7 I, 7 мест",2020,133000,69800,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW M5 F90",2018,79500,73900,"автомат, 4,4 л, бензин, седан"
"BMW 3 серия G20, G21",2019,182000,26450,"автомат, 2,0 л, дизель, универсал"
"BMW X4 G02",2019,79000,39900,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW X6 G06",2020,57200,81490,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW X6 G06",2020,85000,81490,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW M5 F90 · Рестайлинг",2020,62000,95000,"автомат, 4,4 л, бензин, седан"
"BMW 8 серия G14, G15, G16",2019,26000,72500,"автомат, 4,4 л, бензин, кабриолет"
"BMW 7 серия G12 (Long) · Рестайлинг",2021,85000,69800,"автомат, 3,0 л, бензин, седан"
"BMW 3 серия E46",2001,324600,3800,"механика, 1,9 л, бензин, седан"
"BMW 2 серия Active Tourer F45 · Рестайлинг",2019,128000,26900,"автомат, 2,0 л, дизель, минивэн"
"BMW X2 F39",2019,92000,23500,"робот, 1,5 л, бензин, внедорожник 5 дв."
"BMW 3 серия G20, G21",2020,223490,25900,"автомат, 2,0 л, дизель, универсал"
"BMW X5 E70",2009,258373,15500,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW 3 серия F30, F31",2013,195000,14900,"автомат, 2,0 л, бензин, седан"
"BMW 5 серия G30, G31",2018,189000,25490,"автомат, 2,0 л, дизель, универсал"
"BMW 5 серия E60, E61 · Рестайлинг",2007,430000,10950,"механика, 2,0 л, дизель, седан"
"BMW X3 G01",2019,167000,39500,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW X5 E70, 7 мест",2007,363500,19250,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW X5 G05",2019,30750,70000,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW X1 E84 · Рестайлинг",2013,221179,11999,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW 7 серия F01, F04",2009,165000,17500,"автомат, 3,0 л, бензин, седан"
"BMW 5 серия F10, F11",2013,260000,21500,"автомат, 3,0 л, дизель, седан"
"BMW 5 серия E39",1998,689000,6150,"механика, 2,9 л, дизель, седан"
"BMW 3 серия E90, E91, E92, E93 · Рестайлинг",2009,361000,10500,"механика, 2,0 л, дизель, универсал"
"BMW 3 серия E90, E91, E92, E93 · Рестайлинг",2010,380000,9000,"механика, 2,0 л, дизель, седан"
"BMW 5 серия E60, E61",2006,303000,11600,"автомат, 3,0 л, бензин, седан"
"BMW 5 серия G30, G31 · Рестайлинг",2021,177000,47900,"автомат, 3,0 л, дизель, седан"
"BMW 3 серия F34 (GT) · Рестайлинг",2018,161000,27700,"автомат, 2,0 л, бензин, лифтбек"
"BMW 3 серия E36",1998,359685,1900,"механика, 1,8 л, бензин, седан"
"BMW X2 F39",2018,145255,21700,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW 3 серия F34 (GT) · Рестайлинг",2018,170140,24500,"автомат, 2,0 л, дизель, лифтбек"
"BMW 3 серия G20, G21",2021,26000,38100,"автомат, 2,0 л, бензин, седан"
"BMW 4 серия  G22, G23, G26",2020,33500,40000,"автомат, 2,0 л, бензин, купе"
"BMW 3 серия G20, G21",2020,44500,37500,"автомат, 2,0 л, бензин, седан"
